,City,Id,country,lat,lng,Cloudiness,humidity,temperature,wind_speed
462,Qandala,53157,SO,11.472,49.8728,3,61,88.07,5.88
463,Autun,3035883,FR,46.95,4.3,100,99,57.54,2.62
464,Cheremshanka,1508217,RU,56.1192,60.268,90,85,30.65,10.33
465,East Lake,4154008,US,28.1108,-82.6948,40,84,81.3,1.01
466,Shubarshi,608270,KZ,48.5872,57.1869,23,45,42.44,6.89
467,Inhambane,1045114,MZ,-23.865,35.3833,0,70,65.8,9.26
468,Union,5105640,US,40.6334,-74.2663,1,55,72.05,6.91
469,Zhigansk,2012530,RU,66.7697,123.3711,13,86,29.48,10.58
470,Devarkonda,1273109,IN,16.7,78.9333,100,73,78.85,1.86
471,Porto-Novo,2392087,BJ,6.4965,2.6036,84,87,80.42,5.93
472,Lagarto,3459342,BR,-10.9172,-37.65,60,94,75.49,5.64
473,Altamont,5711149,US,42.2068,-121.7372,90,55,56.5,5.01
474,Sawtell,2150163,AU,-30.3833,153.1,0,60,68.02,5.75
475,North Platte,5697939,US,41.1239,-100.7654,1,34,89.91,4
476,Port-Gentil,2396518,GA,-0.7193,8.7815,90,78,78.76,11.5
477,Mancherial,1263936,IN,18.8667,79.4333,100,85,77.97,1.72
478,Axum,344420,ET,14.1245,38.7244,80,77,58.51,2.66
479,Martapura,1636022,ID,-3.4167,114.85,20,88,75.29,0
480,Jalu,86049,LY,29.0331,21.5482,0,26,85.03,7.94
481,Kłobuck,3096090,PL,50.9008,18.9367,100,82,49.5,6.93
482,Rincón de la Victoria,2511852,ES,36.7172,-4.2758,5,88,73,2.68
483,Saint-François,2980080,FR,46.4154,3.9054,90,94,58.44,9.22
484,Chiredzi,893485,ZW,-21.05,31.6667,4,56,61.84,4.03
485,Omboué,2396853,GA,-1.5746,9.2618,53,83,75.6,6.11
486,Mīāndoāb,124085,IR,36.9694,46.1027,0,24,63.99,3.98
487,Brewster,5110092,US,41.3973,-73.6171,7,78,67.17,4.25
488,Bereda,3105522,ES,43.2686,-7.5406,79,100,53.42,2.26
489,Puntarenas,3622228,CR,9.9763,-84.8384,83,84,82.33,5.84
490,Igarka,1505991,RU,67.4667,86.5833,100,95,39.15,10.27
491,Sunrise Manor,5513343,US,36.2111,-115.0731,1,10,94.91,27.63
492,Novikovo,487928,RU,51.1537,37.8879,50,98,53.46,6.4
493,Coos Bay,5720495,US,43.3665,-124.2179,1,62,67.41,9.22
494,Belyy Yar,1510377,RU,53.6039,91.3903,0,66,51.69,4.47
495,Ngorongoro,151610,TZ,-3.2397,35.4875,51,53,51.06,5.77
496,Ngawen,1634100,ID,-7.0032,111.3129,12,81,74.77,6.58
497,Lata,2738381,PT,40.1629,-8.3327,10,97,61.34,1.88
498,Vila Franca do Campo,3372472,PT,37.7167,-25.4333,68,74,68.41,9.44
499,Vao,2137773,NC,-22.6667,167.4833,100,66,67.28,13.62
